228055,1,0
7533007,7,7
3181142,14,11
3878987,6,0
7327620,2,2
7158701,2,1
6442433,1,0
5003845,20,1
5332026,1,1
4866301,1,0
228058,1,1
2978396,1,3
7720344,5,3
5820233,1,1
7926273,1,1
6912698,2,2
7926275,3,3
4970688,1,0
4972096,0,1
4972097,4,0
6516785,1,1
370258,1,0
425870,1,1
2450533,7,7
2513285,1,0
6052329,1,1
8121314,5,1
2986963,0,1
1450536,2,2
4369467,1,1
2142974,2,0
1367959,1,1
6052327,0,1
7203845,1,0
3904438,0,1
6814377,2,0
5552142,1,0
5667762,1,0
3209311,4,2
7799770,0,31
3209312,0,1
5178990,6,2
2843830,1,1
5552149,6,1
978801,4,1
2843834,0,1
4970831,8,9
7306678,2,0
6264537,5,5
6429762,8,0
6264531,1,0
6264530,1,2
7909437,0,2
6039965,1,0
5321252,2,2
7677604,2,0
6852311,1,1
6854862,1,3
1998340,2,2
3302728,0,1
5275515,1,1
7168358,0,1
6088065,6,5
8047559,1,0
458332,6,3
3270849,2,0
458334,16,10
4364731,1,1
3282325,4,6
494922,1,2
6350930,3,3
2713619,6,15
1642771,0,5
4676244,0,1
7075300,5,3
1227814,1,0
7585688,1,1
2805499,6,2
4974621,1,0
2713617,114,0
2184597,0,1
4677191,0,9
4677190,1,1
3977458,0,1
6717814,4,5
3362273,2,2
6693031,0,1
7884103,2,2
1072246,1,1
5274649,1,2
6006150,2,2
1219823,2,1
1302592,4,4
3189777,8,0
727898,0,2
2042361,5,5
8142024,1,1
4321925,2,1
6684514,1,0
7732448,1,1
5797811,0,4
583933,0,7
4280333,3,1
8020094,2,2
3564248,1,3
54547,0,1
6911342,1,0
1341791,10,9
5035871,0,4
1341793,0,1
4546726,0,2
4471606,1,2
6421171,6,2
7869387,1,1
5564102,1,0
5629909,0,147
119867,0,1
5781462,1,0
1185920,0,1
1447898,1,0
1932049,1,1
3300760,1,1
6290610,11,3
154582,2,0
5520936,0,1
1945174,0,14
671256,0,2
1882286,0,1
4784234,12,0
5330716,1,0
3102544,6,8
6677307,1,0
549753,2,0
1795338,1,1
3446099,3,3
4324258,1,0
4974626,3,0
5136329,2,2
400489,1,1
8186287,0,1
7805903,3,4
5829804,1,0
6356321,2,0
2792894,0,13
4886266,1,2
353267,2,6
5219648,3,2
8004116,2,0
930891,1,0
6360493,1,0
2863845,1,1
6496005,1,0
250999,2,0
6228353,13,0
1373912,1,0
3770605,0,1
7584621,1,1
821008,29,24
3845638,1,0
6033557,0,1
2714581,6,8
1552851,2,7
6360137,1,0
54540,1,0
2000583,4,5
2254778,5,5
6095950,3,2
6095953,0,1
3886034,1,1
2484629,1,0
2254776,1,1
3013694,11,3
7196390,4,4
300920,4,0
3407146,2,0
7454099,0,1
3572280,3,3
6993659,3,0
688631,2,2
3204873,1,1
2413653,2,2
160253,5,5
4249510,3,0
6957459,2,1
2702795,0,1
4262144,1,0
3199788,8,6
5657773,1,1
7781825,11,0
4232093,2,2
5598526,1,1
2206711,1,0
6042148,0,1
5813338,0,29
320506,3,1
7748257,9,3
6391514,2,0
5220600,1,1
7879213,2,1
3820027,1,1
7006767,2,2
2679576,7,6
1879894,1,1
5081813,4,2
6866865,2,1
1761777,0,1
6866863,1,0
1003507,2,1
163509,8,31
