228055,1
6442438,1
3181142,14
3878987,4
7327620,4
5047630,2
6442433,1
5003845,12
5618086,1
4866301,1
228058,2
2978396,4
7720344,6
5820233,2
7926273,2
6912698,3
7926275,6
8065166,1
4972096,1
4972097,4
3189775,2
370258,1
6994392,1
2450533,8
2513285,1
6052329,2
2484621,3
7805903,6
4369467,2
2142974,2
1367959,2
6052327,1
7845540,1
3904438,1
7158701,3
3209311,6
7799770,9
3209312,1
5178990,3
2843830,2
5552149,5
978801,4
4372871,2
2843834,1
4970831,6
2948846,4
7306678,2
6264537,4
6429762,3
5416629,1
6264530,2
7909437,1
6429766,2
1282644,1
5321252,4
7677604,2
6852311,2
6854862,3
1998340,4
4160054,2
4836435,1
3116717,3
5275515,2
7168358,1
6088065,6
458332,7
3270849,3
458334,14
4364731,2
1934653,7
494922,3
5575736,6
2713619,15
1642771,3
4676244,1
7720347,3
1227814,1
7585688,2
3693298,4
2805499,4
5310025,1
2713617,20
2184597,1
5907524,2
4677191,3
4677190,2
3977458,1
6717814,7
260293,4
6693031,1
7884103,4
5371246,2
5274649,2
6006150,4
1219823,3
1302592,4
3189777,5
727898,2
2042361,7
8142024,2
4321925,3
842281,1
7732448,2
5797811,4
1473362,2
4280333,3
6799303,2
8020094,2
6428424,2
4621271,1
2421087,2
1341791,15
5035871,3
1341793,1
4546726,2
7935530,2
6421171,6
5564102,1
5629909,10
119867,1
6036888,2
1185920,1
1447898,1
5852509,8
3300760,2
6449593,1
7781214,3
1945174,12
671256,2
1882286,1
6290617,4
5330716,1
3102544,6
549753,3
364617,2
256901,3
3446099,4
73620,2
4974626,3
5136329,2
6356320,1
8186287,1
1450536,4
5829804,1
2792894,4
4886266,2
353267,7
5529255,1
8004116,1
930891,1
6360493,1
2863845,2
702527,2
250999,5
8199286,2
3770605,1
821008,20
3845638,1
6033557,1
2714581,12
1552851,8
54540,1
2000583,4
2254778,10
6095950,4
6095953,1
3886034,2
2484629,1
2254776,2
1832547,3
7196390,3
4363449,6
7317986,1
7454099,1
3572280,4
6993659,2
5848522,1
7671015,2
5004315,2
6694564,3
2314261,1
6842357,1
4262144,1
3199788,6
5552142,1
7781825,5
4232093,3
4049077,1
56573,4
2206711,1
2732200,4
5813338,8
4244670,1
320506,3
7748257,7
6391514,1
5220600,2
7879213,2
3820027,2
7006767,3
884952,1
1879894,2
684749,1
8119335,6
6866865,3
7940185,1
6866863,1
1003507,3
163509,20
2634928,2
1680153,6
2788594,4
5081819,3
6576877,2
6816747,1
7940189,4
7080835,3
4113409,1
4157608,3
