228055,0,0
6442438,1,0
3181142,8,12
3878987,0,3
7327620,1,0
5047630,1,1
6442433,0,1
5003845,1,17
5618086,1,0
228058,1,1
2978396,3,1
7720344,2,3
5820233,1,1
7720347,0,2
6912698,2,2
7926275,2,2
8065166,0,1
4972096,1,0
4972097,0,4
6516785,1,1
370258,0,1
425870,1,1
2450533,6,7
2513285,0,1
6052329,1,1
2484621,1,3
1450536,1,1
4369467,1,1
2142974,0,2
1367959,1,1
6052327,1,0
7845540,1,0
3904438,1,0
3697155,4,4
7158701,1,2
3349049,1,1
3209311,2,4
7799770,29,0
3209312,2,0
5178990,2,6
2843830,1,1
635774,0,0
978801,3,2
2843834,1,0
4970831,6,6
8150845,1,2
6264537,5,5
6429762,0,6
6264531,0,1
6264530,2,1
7909437,2,0
6429766,1,1
5321252,2,1
7677604,0,1
6854862,3,1
1998340,1,1
7380291,3,2
4160054,1,1
3302728,1,0
3116717,1,2
2911613,1,1
5275515,1,1
7168358,2,0
6088065,4,5
458332,2,4
3270849,0,2
7384776,1,17
4364731,1,1
1934653,7,8
494922,1,1
5575736,5,4
2713619,10,4
1642771,5,0
4676244,0,0
7075300,3,5
1227814,0,1
6350933,1,1
7075305,7,7
2805499,2,4
5310025,1,0
2713617,31,82
2184597,0,0
7705803,1,1
4677191,9,0
4677190,1,1
3977458,0,0
6717814,2,2
260293,1,2
7933370,1,1
7884103,1,1
5371246,1,1
4169801,1,4
6006150,1,1
1219823,1,2
1219825,1,1
3189777,0,5
1673222,1,1
2042361,5,5
8142024,1,1
2042367,8,0
7304958,0,1
842281,0,1
5797811,3,0
583933,6,0
4280333,1,3
6799303,2,1
4378490,1,2
3350083,2,2
54547,1,0
6911342,0,1
1341791,6,7
5035871,3,0
1341793,1,0
4546726,2,0
5050798,0,1
6421171,2,6
5564102,0,1
5629909,120,0
119867,1,0
2099416,0,1
6036888,0,2
1185920,1,0
1907777,1,7
5204307,0,1
6449593,0,1
154582,0,1
5520936,0,0
1945174,11,0
671256,2,0
1882286,1,0
4784234,0,9
5330716,0,1
3290303,3,2
235963,0,1
6677307,0,1
882360,0,7
995680,2,0
2349873,42,0
1795338,1,1
3446099,1,1
6932746,3,3
3670813,0,1
2986963,1,0
1878380,1,0
4631391,0,6
247460,2,1
7752081,7,8
2792894,11,0
4886266,1,1
353267,3,2
8004116,0,2
930891,0,1
6360493,0,1
6496005,0,1
250999,3,2
6228353,0,11
3770605,1,0
821008,19,23
3845638,0,0
5311779,1,1
6152181,5,1
1552851,6,1
54540,0,1
2000583,4,3
2254778,3,3
6095950,1,1
6095953,0,0
3886034,1,1
2484629,0,1
2254776,1,1
1832547,3,3
4363449,7,7
3407146,0,2
7995442,1,0
7220840,1,0
5606771,0,1
4060779,1,2
688631,2,2
3204873,1,1
6468512,0,1
160253,2,2
1081052,1,1
4262144,0,1
3199788,3,5
5657773,1,1
7781825,0,10
4232093,1,1
3096748,5,3
5473416,3,1
2206711,0,1
2732200,3,2
5813338,20,0
320506,0,2
7748257,3,4
6391514,0,2
5220600,1,1
7879213,1,2
3820027,0,0
7006767,2,2
3820021,1,0
1879894,0,0
8119335,7,6
6866865,1,2
7940185,0,2
6866863,0,1
1003507,1,2
7940180,3,3
2634928,0,1
1680153,1,5
2788594,3,3
5081819,1,2
6576877,1,1
6816747,0,1
7940189,2,2
7080835,2,3
4113409,0,1
4157608,0,2
6246252,0,4
